NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
107,UPT BANDUNG,BANDUNG,GI 150KV WAYANG WINDU,3/31/2026,3/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
108,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
109,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
110,UPT BANDUNG,BANDUNG,GIS 150KV KIARACONDONG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
111,UPT BANDUNG,BANDUNG,GIS 150KV KIARACONDONG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
112,UPT BANDUNG,BANDUNG,GI 150KV NEW RANCAKASUMBA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
113,UPT BANDUNG,BANDUNG,GI 150KV NEW RANCAKASUMBA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
114,UPT BANDUNG,BANDUNG,GI 150KV UJUNGBERUNG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
115,UPT BANDUNG,BANDUNG,GI 150KV UJUNGBERUNG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
116,UPT BANDUNG,BANDUNG,GI 150KV PADALARANG BARU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
117,UPT BANDUNG,BANDUNG,GI 150KV PADALARANG BARU,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
118,UPT BANDUNG,BANDUNG,GI 150KV PADALARANG BARU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
119,UPT BANDUNG,BANDUNG,GI 150KV PADALARANG BARU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
120,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG UTARA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
121,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG UTARA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
122,UPT BEKASI,BEKASI,GITET 500KV MUARATAWAR,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
