NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
78,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#4 150/20kV,CG PAUWELS,ORF.60/275,4-Jan-2010,2010,16,T,N/A,N/A,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
79,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#1 150/20kV,UNINDO,MPT,16-Apr-2015,2013,11,R,N/A,N/A,N/A,RIP,,,,,,,,
80,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#1 150/20kV,UNINDO,MPT,16-Apr-2015,2013,11,S,N/A,N/A,N/A,RIP,,,,,,,,
81,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#1 150/20kV,UNINDO,MPT,16-Apr-2015,2013,11,T,N/A,N/A,N/A,RIP,,,,,,,,
82,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#2 150/22kV,B&D TRANSFORMER,PX-001-FOHB,13-Des-2017,2017,8,R,N/A,N/A,N/A,RIP,,,,,,,,
83,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#2 150/22kV,B&D TRANSFORMER,PX-001-FOHB,13-Des-2017,2017,8,S,N/A,N/A,N/A,RIP,,,,,,,,
84,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#2 150/22kV,B&D TRANSFORMER,PX-001-FOHB,13-Des-2017,2017,8,T,N/A,N/A,N/A,RIP,,,,,,,,
85,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#1 150/20kV,XIAN,SFZ-30000/150,19-Jan-1997,1995,29,R,HAEFELY,COT 650 800SP,N0997,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
86,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#1 150/20kV,XIAN,SFZ-30000/150,19-Jan-1997,1995,29,S,HAEFELY,COT 650 800SP,N/A,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
87,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#1 150/20kV,XIAN,SFZ-30000/150,19-Jan-1997,1995,29,T,HAEFELY,COT 650 800SP,N1023,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
88,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#3 150/20kV,CG PAUWELS,ORF.60/275,12-Jan-2014,2014,12,R,HSP,STARIPO 170-1250,N3234781,RIP,,,,,,,,
89,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#3 150/20kV,CG PAUWELS,ORF.60/275,12-Jan-2014,2014,12,S,HSP,STARIPO 170-1250,N3234784,RIP,,,,,,,,
90,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#3 150/20kV,CG PAUWELS,ORF.60/275,12-Jan-2014,2014,12,T,HSP,STARIPO 170-1250,N3234783,RIP,,,,,,,,
91,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,10-Feb-2019,2018,7,R,N/A,N/A,N/A,RIP,,,,,,,,
92,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,10-Feb-2019,2018,7,S,N/A,N/A,N/A,RIP,,,,,,,,
93,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,10-Feb-2019,2018,7,T,N/A,N/A,N/A,RIP,,,,,,,,
94,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#1 150/20kV,SHANDONG TAIKAI,SFZ11-60000/150,8-Jan-2013,2012,13,R,PASSONIVILLA,PNO 170.750.800,110859,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
95,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#1 150/20kV,SHANDONG TAIKAI,SFZ11-60000/150,8-Jan-2013,2012,13,S,PASSONIVILLA,PNO 170.750.800,110874,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
96,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#1 150/20kV,SHANDONG TAIKAI,SFZ11-60000/150,8-Jan-2013,2012,13,T,PASSONIVILLA,PNO 170.750.800,110841,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
97,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#2 150/22kV,CG PAUWELS,ORF.60/275,18-Nov-2020,2017,5,R,HSP,STARIP 170-1250 E=3,N7263343,RIP,,,,,,,,
98,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#2 150/22kV,CG PAUWELS,ORF.60/275,18-Nov-2020,2017,5,S,HSP,STARIP 170-1250 E=3,N7263343,RIP,,,,,,,,
99,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#2 150/22kV,CG PAUWELS,ORF.60/275,18-Nov-2020,2017,5,T,HSP,STARIP 170-1250 E=3,N7263342,RIP,,,,,,,,
100,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#1 150/30/20kV,WESTINGHOUSE,SL,1-Jan-1978,1975,48,R,WESTINGHOUSE,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
101,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#1 150/30/20kV,WESTINGHOUSE,SL,1-Jan-1978,1975,48,S,WESTINGHOUSE,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
102,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#1 150/30/20kV,WESTINGHOUSE,SL,1-Jan-1978,1975,48,T,WESTINGHOUSE,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
103,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#3 150/22kV,B&D TRANSFORMER,PX-340-FO1B,21-Jun-2026,2025,0,R,HITACHI ENERGY,AirRIP RTKF 170-750/200 F,1ZCD00189598,RIP,,,,,,,,
104,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#3 150/22kV,B&D TRANSFORMER,PX-340-FO1B,21-Jun-2026,2025,0,S,HITACHI ENERGY,AirRIP RTKF 170-750/200 F,1ZCD00190436,RIP,,,,,,,,
105,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#3 150/22kV,B&D TRANSFORMER,PX-340-FO1B,21-Jun-2026,2025,0,T,HITACHI ENERGY,AirRIP RTKF 170-750/200 F,1ZCD00189599,RIP,,,,,,,,
106,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#2 150/20KV,PAUWELS TRAFO ASIA,ORF.30/275,8-Agu-2002,2000,23,R,HAEFELY TRENCH,COT-750-800/03001340,B6102,BELUM DI KETAHUI,,,,,GOOD,,,
