TECHIDENTNO,MTU,ULTG,UPT,GARDU INDUK,BAY,FASA,TEG,MERK,TIPE,TAHUN BUAT,"USIA
(TAHUN)",JUNE,MAY,APRIL,Parameter Pemicu (evaluasi),RENCANA TINDAK LANJUT POWER INSPECT,Target Penyelesain,AHI SETELAH EVALUASI,PENEMPATAN,HARTRANS,KOORDINAT,KATEGORI USIA,AHI TERBARU
11351528328300000003,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#3 150/20kV,RST,150,UNINDO,MPT,2014,12,3 - Fair,4 - Poor,3 - Fair,,,,3 - Fair,,HARTRANS 2,"-7.310648,108.786659",Normal,3 - Fair
11316128628600000004,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV MRICA,TRF#2 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2014,12,4 - Poor,2 - Good,2 - Good,"Hasil pemeliharaan April 2026, Deviasi Kapasitansi Winding HT dibandingkan dengan pengujian 2022 (Good) jika dengan tahun 2024 cukup besar (Critical)","Dipastikan metode pengujian  tangen delta untuk core yoke perlu dilepas atau tidak, uji ulag jika ada padam trafo",18/07/1905,4 - Poor,,HARTRANS 2,"-7.395776,109.60823",Normal,4 - Poor
11316128628600000005,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV MRICA,TRF#1 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2015,11,3 - Fair,3 - Fair,2 - Good,"Berdasarkan hasil uji hartin 20 Juni 2025, hasil uji bushing baik, hasil uji minyak dga dan karakteristik baik, nilai tahanan isolasi P-G 1,36 (Fair)",-,,3 - Fair,,HARTRANS 2,"-7.395776,109.60823",Normal,3 - Fair
11316127627600000002,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#3 150/20KV,RST,150,UNINDO,TTUB150/60000,2000,26,3 - Fair,4 - Poor,3 - Fair,,,,3 - Fair,,HARTRANS 2,"-6.904283,109.661965",Tua,3 - Fair
11351527627600000004,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#1 150/20kV,RST,150,UNINDO,MPT,2015,11,2 - Good,2 - Good,2 - Good,"Berdasarkan Hasil Uji Mei 2025 Terkonfirmasi Baik (Good)
Hasil Uji DGA dan Karakteristik Good",,,2 - Good,,HARTRANS 2,"-6.904283,109.661965",Normal,2 - Good
11351527627600000205,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#2 150/22kV,RST,150,SCHNEIDER,OIL FILLED WITH CONSERVATOR,2020,6,3 - Fair,3 - Fair,1 - Very good,,,,3 - Fair,,HARTRANS 2,"-6.904283,109.661965",Normal,3 - Fair
11316127527500000001,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#2 150/20kV,RST,150,UNINDO,TTUB150/60000,2000,26,3 - Fair,3 - Fair,2 - Good,,,,3 - Fair,,HARTRANS 2,"-6.913802,109.38475",Tua,3 - Fair
11316127527500000002,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#1 150/20kV,RST,150,PAUWELS TRAFO ASIA,ORF.60/275,2008,18,4 - Poor,4 - Poor,2 - Good,Hasil UJi DGA sm 1 2026 C2H6 311 - Poor. Trending C2H6 naik terus dari 2022,"Trending hasil uji DGA C2H6 segera di uji untuk Tahun 2026.
Karakteristik Tahun 2026",30/08/2026,4 - Poor,,HARTRANS 2,"-6.913802,109.38475",Normal,4 - Poor
11351527527500000003,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#3 150/22kV,RST,150,UNINDO,MPT,2016,10,4 - Poor,4 - Poor,2 - Good,berdasarkan hasil uji hartin 9 okt 2025 tahanan isolasi core yoke 352 Mohm (poor),pemantauan hasil uji hartin 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-6.913802,109.38475",Normal,4 - Poor
11316128828800000001,TRAFO,#N/A,UPT PURWOKERTO,GI 150KV PLTP GEODIPA,TRF#1 15/150kV,RST,150,PAUWELS,OL.74.5/275,1997,29,3 - Fair,3 - Fair,1 - Very good,,,,3 - Fair,,HARTRANS 2,#N/A,Tua,3 - Fair
11351535835800000001,TRAFO,#N/A,UPT PURWOKERTO,GI 150KV PLTP GEODIPA,TRF#2 11/150kV,RST,150,SIEMENS,1YLR760550032,2021,5,2 - Good,4 - Poor,1 - Very good,,,,2 - Good,,HARTRANS 2,#N/A,Normal,2 - Good
11316134734700000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#1 150/20KV,RST,150,ELIN,SFZ-60000/150,2006,20,4 - Poor,4 - Poor,3 - Fair,"Hasil Uji 17 Juni 2026 IFT 24,7 - Fair, Hasil uji hartin 25 Feb 2025 Tahanan isolasi T-G IP 1,14 (Poor), tan delta baik tidak ada isu",trending hasil uji tahanan isolasi saat hartin 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-7.442098,109.387071",Tua,4 - Poor
11316134734700000002,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#2 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2014,12,4 - Poor,4 - Poor,4 - Poor,"Berdasarkan hasil uji hartin 13 april 2026, tan delta bushiing fasa S 0,59.",lakukan monitoring il1 dan il2 bushing secara masif (tipe bushing rip),20/07/1905,4 - Poor,,HARTRANS 2,"-7.442098,109.387071",Normal,4 - Poor
11351534734700000056,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#3 150/22kV,RST,150,ABB,SFZ-60000/150,2018,8,4 - Poor,4 - Poor,1 - Very good,"Hasil Uji DGA 18 Juni 2026 nilai CO 672 - Fair, Hasil uji hartin 24 Sept 2025 IP Tahanan Isolasi T-G 1,22 - Poor","Trending hasil uji hartin 2027
Monitoring DGA semester 2 2026
Uji Furan",30/07/2026,4 - Poor,,HARTRANS 2,"-7.442098,109.387071",Normal,4 - Poor
11316128228200000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV RAWALO,TRF#2 150/20kV,RST,150,ABB,SDOR.30000/170,1993,33,4 - Poor,3 - Fair,2 - Good,"Berdasarkan hasil uji hartin 12 feb 2026 nilai IP tahanan isolasi P-T 1,29 (fair), hasil uji DGA 18 Juni 2026 C2H6 208 (Poor), hasil uji karakteristik 2026 baik",Pemantauan hasil uji DGA sms 2 2026,,4 - Poor,,HARTRANS 2,"-7.538774,109.160987",Sangat Tua,4 - Poor
11351528228200000003,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV RAWALO,TRF#1 150/20kV,RST,150,UNINDO,MPT,2015,11,3 - Fair,4 - Poor,2 - Good,"Berdasarkan hasil uji hartin 21 mei 2025, tahanan isolasi T-G 1,32 (fair), hasil uji DGA 18 juni 2026 C2H6 145 (fair), karakteristik aman tidak ada isu",-,,3 - Fair,,HARTRANS 2,"-7.538774,109.160987",Normal,3 - Fair
11316128528500000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#1 150/20kV,RST,150,PASTI,ORF.60/275,1995,31,5 - Critical,5 - Critical,4 - Poor,"Hasil Uji Karakteristik 2026 IFT 8,2 - Critical, 
Trending IFT memburuk tiap tahun Tandel Bushing 0,53 - Poor","Uji Furan 
Pengujian DFR Bushing Fasa S
Reklamasi",30/07/2026,5 - Critical,,HARTRANS 2,"-7.689365,109.024648",Sangat Tua,5 - Critical
11351528528500000066,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#2 150/22kV,RST,150,UNINDO,MPT,2017,9,3 - Fair,3 - Fair,3 - Fair,,,,3 - Fair,,HARTRANS 2,"-7.689365,109.024648",Normal,3 - Fair
11351555355300000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV STAR,TRF#1 150/22kV,RST,150,CG PAUWELS,ORF.60/275,2017,9,2 - Good,3 - Fair,1 - Very good,,,,2 - Good,,HARTRANS 2,"-7.4221141,109.239326",Normal,2 - Good
11351550150100000001,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV TARUB,TRF#1 150/22kV,RST,150,SCHNEIDER,ORF.60/275,2019,7,3 - Fair,3 - Fair,1 - Very good,"Hasil Uji Hartin 16 Sept 2025 IP Tahanan Isolasi P-T 1,42 - Fair",,,3 - Fair,,HARTRANS 2,"-7.4221141,109.239326",Normal,3 - Fair
11316029029000000001,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#1 150/20kV,RST,150,PAUWELS TRAFO ASIA,ORF.30/275,2000,26,4 - Poor,3 - Fair,2 - Good,"Hasil Uji DGA 2026 C2H6 650 - Critical, Trending C2H6 selalu naik dari 2022","Trending hasil uji DGA C2H6 segera di uji untuk semester 2 Tahun 2026.
Karakteristik Tahun 2026",30/08/2026,4 - Poor,,HARTRANS 2,"-7.278543195,110.1338367",Tua,4 - Poor
11316029029000000002,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#2 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2015,11,2 - Good,4 - Poor,2 - Good,,,,2 - Good,,HARTRANS 2,"-7.278543195,110.1338367",Normal,2 - Good
11351529629600000002,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV WADASLINTANG,TRF#1 150/22kV,RST,150,XD SAKTI INDONESIA,SFZ-60000/150,2018,8,4 - Poor,4 - Poor,2 - Good,"Hasil Uji IP Tahanan Isolasi Thn 16 Jan 2025 P-G 1,2 - Poor,
Hasil Uji DGA dan Karakteristik Good",Trending pengujian tahanan isolasi pada saat ROT 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-7.61132998,109.77941",Normal,4 - Poor
11316128728700000002,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#2 150/20kV,RST,150,PAUWELS TRAFO ASIA,ORF.30/275,2002,24,4 - Poor,3 - Fair,3 - Fair,"Hasil Uji DGA Maret 2026 C2H6 637 - Critical, Trending jelek dari 2022. untuk gas yang lain aman",Trending DGA semester 2 2026,30/08/2026,4 - Poor,,HARTRANS 2,"-7.379554,109.897655",Tua,4 - Poor
11316128728700000003,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#1 150/20kV,RST,150,UNINDO,MPT,2014,12,2 - Good,4 - Poor,2 - Good,,,,2 - Good,,HARTRANS 2,"-7.379554,109.897655",Normal,2 - Good
